seed,base_confirm_accuracy,accuracy_gate,anchor_count,response_rank,null_dimension,projected_gradient_share,true_loss_delta,anti_loss_delta,shuffled_loss_delta,random_best_loss_delta,ambient_raw_loss_delta,true_kernel_relative_residual,true_response_leakage_max,gate_nontrivial_kernel,gate_kernel_relative_residual,gate_finite_response_leakage,gate_true_improves,gate_anti_effect,gate_random_best_effect,gate_shuffled_effect,gate_ambient_is_unconstrained,candidate
64741,0.7940000295639038,True,4,36,5094,0.4699688648468938,-0.021579558695739687,0.029807091264618668,0.0027777771649007965,-0.0010045707502406298,-0.028415916605827096,2.6227932776080913e-14,4.1300296516055823e-14,True,True,True,True,True,True,True,True,True
64726,0.7910000085830688,True,16,144,4986,0.3425785431770432,-0.01572359176561866,0.019396514912167317,4.634646771795037e-05,-0.000700523039991352,-0.0388445532726982,1.710241899380884e-13,2.9753977059954195e-13,True,True,True,True,True,True,True,True,True
64727,0.7955000400543213,True,16,144,4986,0.334537282826426,-0.015520819099989591,0.020042505566985835,-0.00040121614941102113,-0.0010429880333236996,-0.03333869347272045,1.7262258063437348e-13,2.220446049250313e-13,True,True,True,True,True,True,True,True,True
64728,0.7885000109672546,True,16,144,4986,0.3419995276286175,-0.019882124919334054,0.02548208745098901,-0.001791847635370436,-0.0005019600524995838,-0.043083269552920744,1.9363391071363374e-13,2.2115642650533118e-13,True,True,True,True,True,True,True,True,True
64729,0.7900000214576721,True,16,144,4986,0.33212957198388005,-0.02099485430880277,0.026144862057735474,-0.0026312886081467646,-0.0008348623925445997,-0.053636578068482654,1.4253276612301355e-13,2.8332891588433995e-13,True,True,True,True,True,True,True,True,True
64730,0.7950000166893005,True,16,144,4986,0.34588233103907756,-0.016783427878328427,0.022790771268093812,-0.0009375103715186794,-0.0006019747340327841,-0.03069860037156158,1.7003224265061516e-13,1.936228954946273e-13,True,True,True,True,True,True,True,True,True
64731,0.7890000343322754,True,16,144,4986,0.347194128980946,-0.0182568372910632,0.02315840061632124,-0.0010034088380307393,-0.0007335819401134147,-0.04386959358598774,1.5592416153875144e-13,2.2026824808563106e-13,True,True,True,True,True,True,True,True,True
64732,0.7780000567436218,True,16,144,4986,0.32267788974822315,-0.02399677294404856,0.029066148225569965,-0.002862617577652049,-0.0008294692504139389,-0.06374353309582725,2.038766682587721e-13,2.3003821070233244e-13,True,True,True,True,True,True,True,True,True
64733,0.7935000658035278,True,16,144,4986,0.3449980223592408,-0.017265064865289226,0.021926272481091358,-0.0007576607489153675,-0.0005556874414572865,-0.03440131225924736,2.0437410402378953e-13,2.255973186038318e-13,True,True,True,True,True,True,True,True,True
64734,0.7705000638961792,True,16,144,4986,0.3096730683287441,-0.026176181961094613,0.03151715544834044,-0.00404429513095228,-0.0011169813406498585,-0.07331622490309553,1.7481263313524084e-13,2.184918912462308e-13,True,True,True,True,True,True,True,True,True
64735,0.796500027179718,True,16,144,4986,0.36104545796831683,-0.013067818465486325,0.017753984340896145,0.0005892465156569493,-0.0008281165963006654,-0.021594889188155997,1.8009862823025575e-13,2.5934809855243657e-13,True,True,True,True,True,True,True,True,True
64736,0.7980000376701355,True,16,144,4986,0.3824797190953571,-0.013554075691971312,0.01703741457911101,0.0014508790615141987,-0.000559518053612873,-0.022838699152423203,1.5367107056602654e-13,2.007283228522283e-13,True,True,True,True,True,True,True,True,True
64737,0.7735000252723694,True,16,144,4986,0.32203104422938644,-0.024163156344724435,0.02921996160133966,-0.002549641112297385,-0.0005358057842224095,-0.06377162601266961,1.7291303097512916e-13,1.9984014443252818e-13,True,True,True,True,True,True,True,True,True
64738,0.7860000133514404,True,16,144,4986,0.32891895656727443,-0.018577711552483667,0.022979572231560663,-0.0009826698845298854,-0.00041785680942851844,-0.044556466086334456,2.274268670856923e-13,2.3581137043038325e-13,True,True,True,True,True,True,True,True,True
64739,0.7725000381469727,True,16,144,4986,0.3219699589652412,-0.024033278646471756,0.029469622470509327,-0.0027929731209394015,-0.000636718536837777,-0.06372540364838997,1.7774189709066126e-13,2.042810365310288e-13,True,True,True,True,True,True,True,True,True
64740,0.7785000205039978,True,16,144,4986,0.32777405028268003,-0.02626154880240872,0.03286892301426603,-0.005430785363202739,-0.0012526304738716965,-0.0682058348509822,1.9252926395300014e-13,1.9273471707492718e-13,True,True,True,True,True,True,True,True,True
64741,0.7940000295639038,True,16,144,4986,0.36691599664950136,-0.015032314427819826,0.01887838819125187,0.0003631499536189686,-0.0007333774462645604,-0.028415916605827096,1.526645403875648e-13,2.1938006966593093e-13,True,True,True,True,True,True,True,True,True
64726,0.7910000085830688,True,32,288,4842,0.2883627480274125,-0.012154960398452208,0.01423951899214293,-0.00038169980439350937,-0.0004034319256253083,-0.0388445532726982,3.1616081857888095e-13,4.4497738826976274e-13,True,True,True,True,True,True,True,True,True
64727,0.7955000400543213,True,32,288,4842,0.2811284942499075,-0.012243564120412942,0.014812255745696778,0.0002771766093041528,-0.0006421768627603575,-0.03333869347272045,4.2157314366302076e-13,4.991562718714704e-13,True,True,True,True,True,True,True,True,True
64728,0.7885000109672546,True,32,288,4842,0.284632037813386,-0.015778572537668234,0.018860125652714665,-0.00037163834307085697,-0.0004618913027604199,-0.043083269552920744,3.399513163836481e-13,4.5208281562736374e-13,True,True,True,True,True,True,True,True,True
64729,0.7900000214576721,True,32,288,4842,0.2749052188899719,-0.015884049547621237,0.01866321607205934,-0.0018598884447859065,-0.0007025677037879596,-0.053636578068482654,3.1890850911172e-13,4.218847493575595e-13,True,True,True,True,True,True,True,True,True
64730,0.7950000166893005,True,32,288,4842,0.282398631398325,-0.012731595212938096,0.015674915328820038,-0.0009207969896232182,-0.0006714077363766391,-0.03069860037156158,3.975419869778219e-13,5.03597163969971e-13,True,True,True,True,True,True,True,True,True
64731,0.7890000343322754,True,32,288,4842,0.2928759920877741,-0.01414822721822262,0.0167251117864069,-0.0006566261853064859,-0.000603266287696913,-0.04386959358598774,3.8103396238916503e-13,4.645173135031655e-13,True,True,True,True,True,True,True,True,True
64732,0.7780000567436218,True,32,288,4842,0.26615857349604916,-0.0186918800014112,0.021567057306270843,-0.002424012770242845,-0.0008781703956497466,-0.06374353309582725,3.503785176630301e-13,3.97015753605956e-13,True,True,True,True,True,True,True,True,True
64733,0.7935000658035278,True,32,288,4842,0.2866832020043797,-0.013285683582159646,0.015850791412140186,9.800615272115287e-06,-0.0006135207077603289,-0.03440131225924736,2.9144722821441174e-13,4.0545344859310717e-13,True,True,True,True,True,True,True,True,True
64734,0.7705000638961792,True,32,288,4842,0.2586230220927034,-0.020464758483138445,0.023768179765290776,-0.0030676103462425885,-0.0007232372822243427,-0.07331622490309553,4.1792300113435105e-13,4.68070027181966e-13,True,True,True,True,True,True,True,True,True
64735,0.796500027179718,True,32,288,4842,0.30172810866104555,-0.010135956607039809,0.012461458828033845,0.000673656757061436,-0.000729028689143707,-0.021594889188155997,2.572432508738411e-13,3.694822225952521e-13,True,True,True,True,True,True,True,True,True
64736,0.7980000376701355,True,32,288,4842,0.3271372355739464,-0.0106825580222768,0.012714924371215797,0.001021572882770938,-0.0003660266099509979,-0.022838699152423203,2.1795019615714996e-13,2.7355895326763857e-13,True,True,True,True,True,True,True,True,True
64737,0.7735000252723694,True,32,288,4842,0.271972068202554,-0.019069198870457882,0.02220805881777188,-0.0014848237178756163,-0.0006632716283470064,-0.06377162601266961,2.1863836653318124e-13,2.8332891588433995e-13,True,True,True,True,True,True,True,True,True
64738,0.7860000133514404,True,32,288,4842,0.27770009743593016,-0.014845851710533098,0.017526839512108316,-0.0008477401768177684,-0.0007812826150519481,-0.044556466086334456,3.2875574989894853e-13,4.04121180963557e-13,True,True,True,True,True,True,True,True,True
64739,0.7725000381469727,True,32,288,4842,0.2645645429359318,-0.018374939718568517,0.02132896080826996,-0.00282404732499264,-0.0007891695293050782,-0.06372540364838997,3.84256171149654e-13,4.263256414560601e-13,True,True,True,True,True,True,True,True,True
64740,0.7785000205039978,True,32,288,4842,0.2670463541300756,-0.02044242804042784,0.02397001113581021,-0.003235905533510497,-0.0008085069580353599,-0.0682058348509822,3.08638217537427e-13,4.440892098500626e-13,True,True,True,True,True,True,True,True,True
64741,0.7940000295639038,True,32,288,4842,0.31053350983024064,-0.011826099429287917,0.014109825158551303,0.0014858149449915592,-0.0004940254358373197,-0.028415916605827096,2.453375650834184e-13,3.2596148002994596e-13,True,True,True,True,True,True,True,True,True
